aa,ac,ag,at,cc,gc,ct,gt,tt,gg,ref_id,split_id
18.08265397,33.37118247,26.43032088,29.40897153,14.13929139,22.48922868,24.47732656,20.83867506,12.77633015,11.77090293,SARS-CoV-2_1_LEFT,SARS-CoV-2_14_LEFT
15.65092366,33.12833083,23.95863385,28.48625559,15.6260636,23.93362756,28.44865881,21.65520364,13.5296479,11.61588286,SARS-CoV-2_1_LEFT,SARS-CoV-2_14_RIGHT
15.38254694,30.86912812,21.82121706,29.46414928,15.15547035,21.62691884,29.07366178,21.00526876,14.45592531,11.02198607,SARS-CoV-2_1_LEFT,SARS-CoV-2_15_LEFT
17.53119133,32.2542161,28.0297399,27.50059775,14.03512771,23.83402998,23.47063235,21.36394985,12.30876836,12.49774204,SARS-CoV-2_1_LEFT,SARS-CoV-2_15_RIGHT
17.55553757,30.95058643,26.30260438,31.76191025,13.47129345,21.93862083,25.31025064,22.29265297,13.76176987,11.83261019,SARS-CoV-2_1_LEFT,SARS-CoV-2_16_LEFT
15.64138003,30.89121062,26.68013226,29.18206818,14.42336765,25.05538789,27.18957995,24.00170005,13.67762303,12.61015186,SARS-CoV-2_1_LEFT,SARS-CoV-2_16_RIGHT
15.30797278,29.90820879,22.88056032,30.36585907,14.58871926,22.17387626,29.01188266,22.39838007,14.81297769,11.39023408,SARS-CoV-2_1_LEFT,SARS-CoV-2_17_LEFT
15.76528143,28.53887905,23.676731,30.42234314,13.69164814,21.52722417,26.71128565,22.4754797,14.56556502,11.58377678,SARS-CoV-2_1_LEFT,SARS-CoV-2_17_RIGHT
16.53464028,30.26790655,24.80088293,29.24784911,13.94714162,22.12277112,25.42782678,21.627709,13.52024668,11.73693901,SARS-CoV-2_1_LEFT,SARS-CoV-2_18_LEFT
15.82429711,32.54420179,25.010484,27.41145393,15.27325758,24.4056985,26.6642242,21.64404384,12.99797991,11.9925236,SARS-CoV-2_1_LEFT,SARS-CoV-2_18_RIGHT
16.28104015,30.88045094,25.87156495,28.93944167,14.19425288,23.45634739,25.85053101,22.41949707,13.38331298,12.14122232,SARS-CoV-2_1_LEFT,SARS-CoV-2_19_LEFT
14.57650143,28.48953163,22.9155163,29.53374129,14.50392598,22.83610984,29.38954869,23.44947277,15.07485126,11.70068286,SARS-CoV-2_1_LEFT,SARS-CoV-2_19_RIGHT
20.20025038,36.85347008,25.00034775,27.77070405,14.53843331,20.87140639,22.64972957,18.0701526,11.83257001,11.0408479,SARS-CoV-2_1_LEFT,SARS-CoV-2_20_LEFT
14.54506617,27.14104608,23.83374096,32.6927968,13.61474914,22.67692914,30.30389952,26.10417605,16.55447792,12.01118936,SARS-CoV-2_1_LEFT,SARS-CoV-2_20_RIGHT
16.16011133,32.60498597,22.69756506,26.61429001,15.49000672,22.1346142,25.80638053,19.48638195,12.7658924,11.17870682,SARS-CoV-2_1_LEFT,SARS-CoV-2_21_LEFT
16.68266385,31.83857093,25.54528548,29.19268569,14.36257894,23.06634024,25.874351,21.78826596,13.3019588,11.88895809,SARS-CoV-2_1_LEFT,SARS-CoV-2_21_RIGHT
18.5424474,33.61721125,26.10706557,29.3643793,14.05763264,21.91258828,24.01170869,20.25895458,12.64200487,11.58135169,SARS-CoV-2_1_LEFT,SARS-CoV-2_22_LEFT
15.46671753,32.6411797,22.50821267,28.93911596,15.78425643,22.79000284,29.45097855,21.12160558,14.00859603,11.19896588,SARS-CoV-2_1_LEFT,SARS-CoV-2_22_RIGHT
15.36569526,29.29825679,23.07390924,31.5598348,14.21143372,21.90976158,29.19215627,23.01340824,15.30319056,11.42964472,SARS-CoV-2_1_LEFT,SARS-CoV-2_23_LEFT
19.52644252,37.85484649,25.44722176,28.62377786,14.87440673,21.7751053,23.92696583,18.86031712,12.11902082,11.18453837,SARS-CoV-2_1_LEFT,SARS-CoV-2_23_RIGHT
16.0103956,29.45662822,25.0428936,28.93789087,13.90396098,22.67164938,25.68783152,22.38952181,13.67374091,12.0107156,SARS-CoV-2_1_LEFT,SARS-CoV-2_24_LEFT
17.67648491,34.33222917,22.72903312,28.74127458,15.01152316,20.78134046,25.50237672,18.88998963,12.90193204,10.81779581,SARS-CoV-2_1_LEFT,SARS-CoV-2_24_RIGHT
15.67092831,33.4896042,24.03604209,27.16693768,15.92145771,24.28694841,27.50201855,21.08328066,13.02381913,11.69716752,SARS-CoV-2_1_LEFT,SARS-CoV-2_25_LEFT
15.27065737,30.72304633,24.225848,30.57088733,14.73431807,23.62687581,29.54006918,23.54540406,14.66284569,11.81711259,SARS-CoV-2_1_LEFT,SARS-CoV-2_25_RIGHT
16.05516984,32.73815078,25.88327999,30.22498423,14.86595897,24.49640952,28.24682374,23.2049222,13.83312604,12.09033261,SARS-CoV-2_1_LEFT,SARS-CoV-2_26_LEFT
15.38131653,27.52852914,25.6508236,31.58902147,13.25649335,22.85434145,27.18854118,25.3627335,15.14862968,12.42076343,SARS-CoV-2_1_LEFT,SARS-CoV-2_26_RIGHT
15.27662976,28.85722775,29.01543225,30.82449605,13.62623242,26.16197921,27.55468064,27.6960787,14.50065811,13.6960911,SARS-CoV-2_1_LEFT,SARS-CoV-2_27_LEFT
15.00479896,29.91079948,23.7805556,30.49435866,14.63407611,23.3674293,29.75445254,23.68972174,14.92247053,11.77608113,SARS-CoV-2_1_LEFT,SARS-CoV-2_27_RIGHT
16.49053818,34.69143094,24.81953809,26.92035498,15.66557487,24.00887811,25.94452293,20.38857478,12.49822331,11.69353005,SARS-CoV-2_1_LEFT,SARS-CoV-2_28_LEFT
16.30190989,33.32796061,23.78272266,27.10192336,15.44505214,22.99525553,26.04259336,20.15362247,12.76245968,11.44617076,SARS-CoV-2_1_LEFT,SARS-CoV-2_28_RIGHT
12.89659834,25.74885934,21.87600039,29.16839601,14.67599562,24.18860394,34.08275918,27.09972009,17.25577247,12.15665181,SARS-CoV-2_1_LEFT,SARS-CoV-2_29_LEFT
16.96968345,31.91951028,26.3501252,27.48721144,14.31242917,23.40538361,24.26126573,21.1453395,12.5727928,12.14166358,SARS-CoV-2_1_LEFT,SARS-CoV-2_29_RIGHT
15.14174455,28.05593801,25.0491151,30.32843742,13.72115897,23.24646544,27.5630485,24.67084343,14.83243655,12.32052844,SARS-CoV-2_1_LEFT,SARS-CoV-2_30_LEFT
16.38531311,35.53718083,22.8313489,26.81368527,16.34244939,22.79684442,26.76358957,19.28909975,12.62116519,11.09449238,SARS-CoV-2_1_LEFT,SARS-CoV-2_30_RIGHT
14.99201708,28.22299199,27.16506798,31.42296224,13.62779661,25.04234673,28.4691818,27.38950822,15.14160344,13.1394065,SARS-CoV-2_1_LEFT,SARS-CoV-2_31_LEFT
17.31230709,30.60313064,26.64425238,29.97393755,13.54342567,22.41382244,24.56522745,22.1097472,13.30778932,12.08260346,SARS-CoV-2_1_LEFT,SARS-CoV-2_31_RIGHT
15.59453171,28.5691009,26.58936294,29.84695429,13.56546297,23.81509606,26.27333019,24.63515625,14.1393914,12.69653588,SARS-CoV-2_1_LEFT,SARS-CoV-2_32_LEFT
18.14070402,37.13118725,26.00315267,28.81852527,15.19331614,23.27068516,25.40182411,20.16645976,12.4695127,11.55552782,SARS-CoV-2_1_LEFT,SARS-CoV-2_32_RIGHT
15.00596487,29.43581923,26.35940459,28.13107181,14.39593341,25.4932789,27.1239826,24.55758445,13.76008808,12.91906258,SARS-CoV-2_1_LEFT,SARS-CoV-2_33_LEFT
15.64770342,31.55762348,23.8490482,29.30162316,14.96450763,23.15355363,28.18426032,22.03767069,13.93522496,11.59474618,SARS-CoV-2_1_LEFT,SARS-CoV-2_33_RIGHT
14.89379418,28.0963431,24.97500087,29.19572651,13.94162771,23.74170893,27.43666714,24.47324791,14.49919293,12.42732237,SARS-CoV-2_1_LEFT,SARS-CoV-2_34_LEFT
17.13953626,32.21521927,24.4151343,26.80235659,14.57808221,22.07150211,23.93595357,19.64889264,12.4027171,11.50997683,SARS-CoV-2_1_LEFT,SARS-CoV-2_34_RIGHT
15.03669848,28.94805389,24.2740258,30.32052886,14.18658413,23.27029238,28.64900806,24.07635538,14.86533922,12.00041932,SARS-CoV-2_1_LEFT,SARS-CoV-2_35_LEFT
15.61558917,30.02143297,24.83414207,30.91072024,14.17685828,23.1797372,28.20293951,23.65519108,14.57618339,11.93890321,SARS-CoV-2_1_LEFT,SARS-CoV-2_35_RIGHT
16.52051774,33.25282092,22.4637869,29.39260842,15.24174991,21.44645258,27.52967663,19.98574752,13.61319636,10.93021536,SARS-CoV-2_1_LEFT,SARS-CoV-2_36_LEFT
19.0492233,35.2551704,27.67423901,28.10086154,14.29418291,22.92270341,23.19622707,20.04366307,12.05352446,11.9211039,SARS-CoV-2_1_LEFT,SARS-CoV-2_36_RIGHT
15.7723944,33.49247945,23.00071713,27.80706132,15.85916507,23.07838844,27.92824163,20.51862782,13.27089554,11.27758124,SARS-CoV-2_1_LEFT,SARS-CoV-2_37_LEFT
16.37025395,32.41358957,25.11931949,30.63413336,14.59896378,23.24307151,27.71017949,22.41899121,13.8847667,11.73588737,SARS-CoV-2_1_LEFT,SARS-CoV-2_37_RIGHT
15.24935896,30.0774613,26.22104225,31.91513433,14.21050319,24.8063114,29.68604547,25.93914734,15.03763158,12.51670576,SARS-CoV-2_1_LEFT,SARS-CoV-2_38_LEFT
16.846504,32.29732483,24.15179062,29.10990203,14.56805464,22.04965965,25.94907173,20.69010386,13.28573742,11.39834582,SARS-CoV-2_1_LEFT,SARS-CoV-2_38_RIGHT
13.96961055,27.70365092,22.52033751,30.46708463,14.58013188,23.22293785,31.93970052,24.99681754,16.24743046,11.7765086,SARS-CoV-2_1_LEFT,SARS-CoV-2_39_LEFT
